,ID,E_Brent,C_polimero,PPM,Costo_Kw_hr,PP,capex_h,opex_h,costo_polim_h,PPM_h,Costo_Kw_hr_h,produc_h,VPN_Basica_porta,VPN_incremental_porta,VPN_Basica,VPN_incremental,VPN_Total,EFI_INCREMENTAL,capex,opex_basica,opex_incremental,volumen_B_LE,volumen_I_LE,volumen_T_LE,volumen_B_LE_p,volumen_I_LE_p,volumen_T_LE_p,LE_year_p,LE_year_b,lc_p,lc_b,dc_p,dc_b,opex_ing_p,capex_ing_p,impuesto_ing_p,ingreso_ing_p,abandono_ing_p,opex_ing_b,capex_ing_b,impuesto_ing_b,ingreso_ing_b,abandono_ing_b
0,0,50,3.2,700,244,0.5700000000000001,0.9,1,1,1,1,1,0,84516.2217,0,88691.4077,88691.4077,2.341257717465707,284768.885,0,380807.3347,0.0,26.42302594187201,26.42302594187201,0.0,24.10521664872533,24.10521664872533,2062.0,2062.0,7.4745,7.4745,5.2169,4.7593,48709.9314,57820.2536,44887.0288,235933.4355,0,53393.5787,57820.2536,46680.1135,246585.3535,0
1,1,50,3.2,700,244,0.5700000000000001,1.1,1,1,1,1,1,0,74179.0426,0,78354.2286,78354.2286,1.7337527908941084,348050.8595,0,380807.3347,0.0,26.42302594187201,26.42302594187201,0.0,24.10521664872533,24.10521664872533,2062.0,2062.0,7.4745,7.4745,6.3762,5.8169,48709.9314,70669.1988,42375.2626,235933.4355,0,53393.5787,70669.1988,44168.3474,246585.3535,0
2,2,50,3.2,700,244,0.5700000000000001,1,0.9,1,1,1,1,0,79495.0119,0,83684.369,83684.369,2.0107045561507944,316409.8722,0,378959.1064,0.0,26.42302594187201,26.42302594187201,0.0,24.10521664872533,24.10521664872533,2062.0,2062.0,7.4378,7.4378,5.7965,5.2881,48499.4997,64244.7262,43694.1978,235933.4355,0,53162.9131,64244.7262,45493.3452,246585.3535,0
3,3,50,3.2,700,244,0.5700000000000001,1,1.1,1,1,1,1,0,79200.2524,0,83361.2673,83361.2673,2.003523744939763,316409.8722,0,382655.5629,0.0,26.42302594187201,26.42302594187201,0.0,24.10521664872533,24.10521664872533,2062.0,2062.0,7.5112,7.5112,5.7965,5.2881,48920.3632,64244.7262,43568.0936,235933.4355,0,53624.2443,64244.7262,45355.1157,246585.3535,0
4,4,50,3.2,700,244,0.5700000000000001,1,1,1,1,1,0.9,0,66244.2794,0,70001.9468,70001.9468,1.7064031616393116,316409.8722,0,343145.4987,0.0,23.780723347684805,23.780723347684805,0.0,21.694694983852802,21.694694983852802,2062.0,2062.0,7.4745,7.4745,6.4406,5.8756,43838.9383,64244.7262,38012.148,212340.0919,0,48054.2208,64244.7262,39625.9243,221926.8182,0
5,5,50,3.2,700,244,0.5700000000000001,1,1,1,1,1,1.1,0,92444.1406,0,97036.5363,97036.5363,2.3076660772922213,316409.8722,0,418469.1706,0.0,29.064642027891725,29.064642027891725,0.0,26.51511202544508,26.51511202544508,2062.0,2062.0,7.4745,7.4745,5.2696,4.8073,53580.9246,64244.7262,49247.2101,259517.0015,0,58732.9366,64244.7262,51219.4709,271233.6699,0
6,6,50,3.2,700,244,0.5700000000000001,1,1,0.9,1,1,1,0,80661.8989,0,84963.4568,84963.4568,2.039126140029989,316409.8722,0,365075.1702,0.0,26.42302594187201,26.42302594187201,0.0,24.10521664872533,24.10521664872533,2062.0,2062.0,7.1623,7.1623,5.7965,5.2881,46833.7256,64244.7262,44193.0848,235933.4355,0,51336.9684,64244.7262,46040.2021,246585.3535,0
7,7,50,3.2,700,244,0.5700000000000001,1,1,1.1,1,1,1,0,78033.3654,0,82082.1796,82082.1796,1.9751021610605692,316409.8722,0,396539.4991,0.0,26.42302594187201,26.42302594187201,0.0,24.10521664872533,24.10521664872533,2062.0,2062.0,7.7867,7.7867,5.7965,5.2881,50586.1373,64244.7262,43069.2066,235933.4355,0,55450.189,64244.7262,44808.2588,246585.3535,0
8,8,50,3.2,700,244,0.5700000000000001,1,1,1,0.9,1,1,0,80661.8989,0,84963.4568,84963.4568,2.039126140029989,316409.8722,0,365075.1702,0.0,26.42302594187201,26.42302594187201,0.0,24.10521664872533,24.10521664872533,2062.0,2062.0,7.1623,7.1623,5.7965,5.2881,46833.7256,64244.7262,44193.0848,235933.4355,0,51336.9684,64244.7262,46040.2021,246585.3535,0
9,9,50,3.2,700,244,0.5700000000000001,1,1,1,1.1,1,1,0,78033.3654,0,82082.1796,82082.1796,1.9751021610605692,316409.8722,0,396539.4991,0.0,26.42302594187201,26.42302594187201,0.0,24.10521664872533,24.10521664872533,2062.0,2062.0,7.7867,7.7867,5.7965,5.2881,50586.1373,64244.7262,43069.2066,235933.4355,0,55450.189,64244.7262,44808.2588,246585.3535,0
10,10,50,3.2,700,244,0.5700000000000001,1,1,1,1,0.9,1,0,80300.8437,0,84567.6847,84567.6847,2.0303358663635063,316409.8722,0,369800.3208,0.0,26.42302594187201,26.42302594187201,0.0,24.10521664872533,24.10521664872533,2062.0,2062.0,7.256,7.256,5.7965,5.2881,47348.9189,64244.7262,44038.9466,235933.4355,0,51901.6996,64244.7262,45871.243,246585.3535,0
11,11,50,3.2,700,244,0.5700000000000001,1,1,1,1,1.1,1,0,78394.4206,0,82477.9516,82477.9516,1.983892434727051,316409.8722,0,391814.3485,0.0,26.42302594187201,26.42302594187201,0.0,24.10521664872533,24.10521664872533,2062.0,2062.0,7.6929,7.6929,5.7965,5.2881,50070.944,64244.7262,43223.3447,235933.4355,0,54885.4578,64244.7262,44977.2179,246585.3535,0
12,12,50,3.2,700,244,0.5700000000000001,1,1,1,1,1,1,0,79347.6321,0,83522.8182,83522.8182,2.007114150545279,316409.8722,0,380807.3347,0.0,26.42302594187201,26.42302594187201,0.0,24.10521664872533,24.10521664872533,2062.0,2062.0,7.4745,7.4745,5.7965,5.2881,48709.9314,64244.7262,43631.1457,235933.4355,0,53393.5787,64244.7262,45424.2304,246585.3535,0
